id,name,cal,fat,carbo,protein,cal2,protein2,fat2,basket
1001,콘치즈핫도그,437kcal,25.00g,39.00g,14.00g,437 ,14,25,
1002,촉촉치즈수플레,318kcal,14.00g,40.00g,8.00g,318 ,8,14,
1003,매콤햄김치볶음밥 삼각김밥,189kcal,5.00g,32.00g,4.00g,189 ,4,5,
1004,고기고기치킨 도시락,797kcal,25.00g,104.00g,39.00g,797 ,39,25,
1005,미트소스 계란덮밥,596kcal,12.00g,104.00g,18.00g,596 ,18,12,
1006,참치김치폭탄주먹밥,330kcal,5.70g,64.00g,6.00g,330 ,6,5,
1007,참치마요밥바,388kcal,16.00g,47.00g,14.00g,388 ,14,16,
1008,새우까스버거,340kcal,17.00g,37.00g,10.00g,340 ,10,17,
1009,크랜베리 쿠키,239kcal,11.00g,33.00g,2.00g,239 ,2,11,
1010,목살큐브스테이크,647kcal,27.00g,72.00g,29.00g,647 ,29,27,
1011,달콤간장치킨덮밥,525kcal,8.00g,83.00g,30.00g,525 ,30,8,
1012,오리&불고기 정식 도시락,747kcal,23.00g,96.00g,39.00g,747 ,39,23,
1013,오늘의 도시락 간장불고기,730kcal,22.00g,98.00g,35.00g,730 ,35,22,
1014,햄&치즈 프렌치토스트,286kcal,10.00g,40.00g,9.00g,286 ,9,10,
1015,어둠의 초코쿠키,795kcal,38.00g,103.00g,10.00g,795 ,10,38,
1016,양념돈까스 삼각김밥,220kcal,5.00g,37.00g,6.00g,220 ,6,5,
1017,9첩 반상,691kcal,23.00g,94.00g,27.00g,691 ,27,23,
1018,파르페 초코,298kcal,14.50g,40.70g,3.30g,298 ,3,14,
1019,닭갈비삼각김밥,168kcal,1.40g,34.00g,4.70g,168 ,4,1,
1020,쫀득한 롤케익 제주녹차,425kcal,25.00g,41.00g,8.00g,425 ,8,25,
1021,시그니처 비프버거,400kcal,16.00g,39.00g,25.00g,400 ,25,16,
1022,NEW리치참치마요,218kcal,5.00g,36.00g,7.00g,218 ,7,5,
1023,12찬 한판도시락,741kcal,25.00g,97.00g,32.00g,741 ,32,25,
1024,매콤불고기,334kcal,6.00g,60.00g,10.00g,334 ,10,6,
1025,한입에 꼬치다,270kcal,19.00g,8.00g,17.00g,270 ,17,19,
1026,잠봉&살라미햄 샌드,425kcal,23.00g,38.00g,17.00g,425 ,17,23,
1027,초코링스,190kcal,11.00g,22.00g,2.00g,190 ,2,11,
1028,스팸간장덮밥,613kcal,21.00g,87.00g,19.00g,613 ,19,21,
1029,초코우유,280kcal,12.00g,33.00g,10.00g,280 ,10,12,
1030,빅 시그니처 비프버거,498kcal,22.00g,51.00g,24.00g,498 ,24,22,
1031,춘천식 닭갈비 삼각김밥,163kcal,2.10g,32.00g,4.00g,163 ,4,2,
1032,불고기전주비빔,244kcal,4.00g,44.00g,8.00g,244 ,8,4,
1033,귀여운 치즈한입슈,172kcal,12.00g,14.00g,2.00g,172 ,2,12,
1034,훈제오리 도시락,713kcal,25.00g,94.00g,28.00g,713 ,28,25,
1035,찐고구마 듬뿍 앙금빵,380kcal,7.00g,71.00g,7.00g,380 ,7,7,
1036,촉촉 계란 샌드위치,502kcal,34.00g,35.00g,14.00g,502 ,14,34,
1037,구운란(자연애찬),55kcal,4.30g,2.00g,7.00g,55 ,7,4,
1038,불닭삼김,175kcal,2.60g,33.00g,5.00g,175 ,5,2,
1039,훈제오리제육볶음,763kcal,23.00g,100.00g,39.00g,763 ,39,23,
1040,뭉게구름 다쿠아즈,266kcal,12.00g,36.00g,4.00g,266 ,4,12,
1041,제육쌈밥김밥,360kcal,10.00g,56.00g,13.00g,360 ,13,10,
1042,초코우유,60kcal,2.25g,8.00g,2.00g,60 ,2,2,
1043,에그타르트 오리지날,171kcal,7.00g,24.00g,3.00g,171 ,3,7,
1044,구운양파맛 케틀칩,320kcal,15.00g,42.00g,5.00g,320 ,5,15,
1045,딥치즈 핫도그,430kcal,24.00g,38.00g,15.00g,430 ,15,24,
1046,불고기삼각,193kcal,4.50g,33.00g,5.00g,193 ,5,4,
1047,통통 햄계란말이 김밥,424kcal,12.00g,63.00g,16.00g,424 ,16,12,
1048,스파이시 치킨 샐러드,155kcal,11.00g,8.00g,6.00g,155 ,6,11,
1049,단짠삼겹볶음 삼각김밥,292kcal,8.00g,46.00g,9.00g,292 ,9,8,
1050,오리지날 모찌롤 플레인,395kcal,25.00g,37.50g,5.00g,395 ,5,25,
1051,백종원의 매콤불고기,361kcal,9.00g,57.00g,13.00g,361 ,13,9,
1052,자이언트 매콤 까르보 떡볶이,660kcal,28.00g,95.00g,10.00g,660 ,10,28,
1053,한돈직화정식,732kcal,24.00g,89.00g,40.00g,732 ,40,24,
1054,스팸샌드위치,413kcal,25.00g,34.00g,13.00g,413 ,13,25,
1055,초코바나나우유,240kcal,7.00g,36.00g,7.00g,240 ,7,7,
1056,매콤갈릭 면볶이,350kcal,0.80g,80.00g,6.00g,350 ,6,0,
1057,자이언트 반반 닭강정,1701kcal,77.00g,179.00g,73.00g,1701 ,73,77,
1058,백종원 더블닭갈비정식,604kcal,16.00g,89.00g,26.00g,604 ,26,16,
1059,오늘의 도시락 탕수육&깐풍치킨,863kcal,31.00g,119.00g,27.00g,863 ,27,31,
1060,달닭삼각김밥,170kcal,1.50g,34.00g,5.00g,170 ,5,1,
1061,핫찰도그체다치즈,364kcal,6.00g,40.00g,18.00g,364 ,18,6,
1062,김자반 철판볶음밥,506kcal,14.00g,87.00g,8.00g,506 ,8,14,
1063,우유식빵,255kcal,5.60g,42.50g,8.90g,255 ,8,5,
1064,매콤제육 야채덮밥,648kcal,20.00g,95.00g,22.00g,648 ,22,20,
1065,춘천식 닭갈비 도시락,633kcal,17.00g,90.00g,30.00g,633 ,30,17,
1066,국민간식 길거리토스트,454kcal,14.00g,63.00g,19.00g,454 ,19,14,
1067,매콤한 닭갈비 주먹밥,273kcal,4.00g,53.00g,6.00g,273 ,6,4,
1068,에그 베네딕트 샌드위치,288kcal,12.00g,32.00g,13.00g,288 ,13,12,
1069,통밀치킨 샌드위치,360kcal,12.00g,40.00g,23.00g,360 ,23,12,
1070,오늘은치즈에그롤,170kcal,8.00g,10.00g,15.00g,170 ,15,8,
1071,너비아니 밥바,310kcal,10.00g,46.00g,9.00g,310 ,9,10,
1072,집밥은 씨유 된장국,15kcal,0.00g,3.00g,1.00g,15 ,1,0,
1073,쫀득한 마카롱 제주녹차,385kcal,17.00g,53.00g,5.00g,385 ,5,17,
1074,콘소메맛 케틀칩,300kcal,11.00g,46.00g,5.00g,300 ,5,11,
1075,버터장조림 주먹밥,301kcal,9.00g,45.00g,10.00g,301 ,10,9,
1076,고로케는 뜬뜬,244kcal,8.00g,35.00g,8.00g,244 ,8,8,
1077,카베르네 소비뇽,155kcal,0.00g,38.00g,1.00g,155 ,1,0,
1078,ㅇㄱㄹㅇㅂㅂㅂㄱ,555kcal,27.00g,71.00g,6.00g,555 ,6,27,
1079,베이컨참치마요,189kcal,5.00g,31.00g,5.00g,189 ,5,5,
1080,매콤제육쌈김밥,300kcal,8.00g,48.00g,9.00g,300 ,9,8,
1081,쌀밥득템,300kcal,0.60g,70.00g,6.00g,300 ,6,0,
1082,사라다빵,402kcal,26.20g,35.10g,6.50g,402 ,6,26,
1083,추억의 그시절 햄사라다빵,357kcal,17.00g,42.00g,9.00g,357 ,9,17,
1084,A1 트리플 스테이크버거,582kcal,34.00g,48.00g,21.00g,582 ,21,34,
1085,불판볶음밥,771kcal,31.00g,101.00g,22.00g,771 ,22,31,
1086,백종원 미트볼토마토 파스타,727kcal,23.00g,103.00g,27.00g,727 ,27,23,
1087,우삼겹전주비빔삼각김밥,306kcal,10.00g,47.00g,7.00g,306 ,7,10,
1088,아이스초코,75kcal,0.60g,16.00g,1.00g,75 ,1,0,
