id,name,cal,fat,carbo,protein,cal2,protein2,fat2,basket
216,고기진짜많구나 도시락,625kcal,21.00g,83.00g,26.00g,625 ,625 ,625 ,
217,소고기간장볶음 삼각김밥,225kcal,2.10g,42.00g,7.00g,225 ,225 ,225 ,
218,고구마아몬드 샐러드,240kcal,14.00g,26.00g,2.00g,240 ,240 ,240 ,
219,콘스낵,614kcal,22.00g,98.00g,6.00g,614 ,614 ,614 ,
220,반숙계란,80kcal,4.50g,4.00g,6.00g,80 ,80 ,80 ,
221,쿠시마사 돈까스마요,223kcal,7.00g,35.00g,5.00g,223 ,223 ,223 ,
222,진간장불고기,453kcal,17.00g,55.00g,20.00g,453 ,453 ,453 ,
223,블루베리식빵,345kcal,9.00g,58.00g,7.00g,345 ,345 ,345 ,
224,신 제육볶음 김밥,445kcal,13.00g,61.00g,21.00g,445 ,445 ,445 ,
225,블랙 아메리카노,15kcal,0.00g,3.00g,1.00g,15 ,15 ,15 ,
226,연세우유 메론생크림빵,467kcal,19.00g,66.00g,8.00g,467 ,467 ,467 ,
227,대만식연유 샌드위치,395kcal,19.00g,44.00g,12.00g,395 ,395 ,395 ,
228,2XL 스팸마요,314kcal,10.00g,49.00g,7.00g,314 ,314 ,314 ,
229,백종원의 열탄불고기 (367g),736kcal,28.00g,86.00g,35.00g,736 ,736 ,736 ,
230,삼겹살 삼각김밥,195kcal,2.90g,36.00g,6.00g,195 ,195 ,195 ,
231,언양식 불고기 김밥,331kcal,5.00g,56.00g,15.00g,331 ,331 ,331 ,
232,딸기잼쿠키,286kcal,10.00g,46.00g,4.00g,286 ,286 ,286 ,
233,모둠초덮밥,514kcal,8.00g,89.00g,22.00g,514 ,514 ,514 ,
234,직화로 구운 불닭봉,195kcal,9.00g,16.00g,12.00g,195 ,195 ,195 ,
235,소불고기 도시락,603kcal,18.00g,93.00g,17.00g,603 ,603 ,603 ,
236,나쵸살사콤보,295kcal,15.00g,37.00g,4.00g,295 ,295 ,295 ,
237,계란과자,420kcal,15.00g,64.00g,6.00g,420 ,420 ,420 ,
238,코코넛라떼,215kcal,7.00g,34.00g,4.00g,215 ,215 ,215 ,
239,참치김치김밥,300kcal,8.00g,48.00g,9.00g,300 ,300 ,300 ,
